Skin_Type,Skin_Color,Skin_Problems,Skin_Sensitivity,Skin_Oil_Level,Acne,Skin_Dryness,Lifestyle,Age
Oily,0,4,6,10,7,2,3,46
Oily,4,8,4,7,10,0,1,59
Oily,4,8,4,10,10,3,1,58
Oily,4,6,4,10,5,2,2,43
Oily,4,7,6,7,9,1,0,18
Oily,3,8,4,10,10,2,3,22
Oily,0,4,5,8,5,2,3,59
Oily,0,5,4,9,5,2,3,45
Oily,4,4,4,9,9,2,1,15
Oily,3,6,5,10,9,1,2,41
Oily,3,8,3,10,9,0,2,58
Oily,0,8,3,8,8,0,3,58
Oily,3,5,3,10,6,3,1,59
Oily,3,5,6,7,8,3,2,40
Oily,3,6,3,8,6,1,0,18
Oily,0,7,5,10,10,2,2,39
Oily,2,7,6,8,10,0,1,46
Oily,1,6,3,9,5,0,0,30
Oily,4,8,4,7,6,0,3,54
Oily,4,8,4,9,5,1,2,24
Oily,3,7,4,8,8,3,2,28
Oily,2,5,3,7,8,3,0,60
Oily,3,8,4,10,5,0,3,21
Oily,3,8,3,8,10,2,0,24
Oily,4,5,3,7,8,2,3,54
Oily,4,4,4,7,6,0,3,41
Oily,2,5,4,7,10,0,2,55
Oily,0,8,5,7,6,1,3,49
Oily,4,8,5,7,8,1,0,19
Oily,0,8,5,8,5,1,3,38
Oily,0,8,4,8,7,1,3,20
Oily,1,4,6,9,7,2,3,24
Oily,3,8,3,10,9,0,3,37
Oily,1,7,6,9,5,2,3,19
Oily,2,5,5,9,10,1,2,31
Oily,3,5,5,8,9,1,0,20
Oily,4,4,6,10,9,3,1,49
Oily,4,7,4,8,5,1,2,56
Oily,2,7,3,8,9,0,3,17
Oily,0,6,5,7,10,1,0,22
Oily,4,6,3,10,5,0,1,45
Oily,4,5,6,7,10,0,3,15
Oily,1,4,6,10,9,1,3,35
Oily,4,5,4,8,8,3,3,58
Oily,2,4,3,10,5,2,1,51
Oily,1,5,3,10,5,0,0,59
Oily,2,8,4,9,10,0,1,17
Oily,1,5,4,8,5,0,1,31
Oily,0,4,5,9,9,0,2,46
Oily,1,5,5,7,10,2,3,35
Oily,4,7,3,8,8,0,3,41
Oily,2,8,6,7,6,0,0,54
Oily,4,8,3,9,8,2,1,24
Oily,0,6,5,10,5,0,3,38
Oily,4,4,4,8,8,0,2,19
Oily,3,5,6,10,6,3,2,28
Oily,3,8,6,9,7,0,3,32
Oily,3,5,6,9,9,0,0,54
Oily,4,6,3,9,9,0,2,32
Oily,4,4,4,7,8,0,1,28
Oily,2,5,6,7,7,1,0,56
Oily,3,6,6,10,10,3,3,29
Oily,1,5,5,9,8,2,2,45
Oily,0,8,4,8,8,3,0,51
Oily,2,7,6,9,10,2,3,51
Oily,4,5,3,9,9,0,3,54
Oily,1,4,3,8,10,1,2,29
Oily,4,7,3,8,8,1,2,30
Oily,0,5,6,8,8,1,3,27
Oily,4,8,5,8,5,0,0,19
Oily,1,4,3,8,5,1,0,45
Oily,1,7,3,7,7,1,2,40
Oily,0,6,4,9,7,2,2,58
Oily,2,5,3,10,9,3,2,33
Oily,2,6,6,7,9,3,2,44
Oily,0,7,5,9,6,1,3,42
Oily,4,5,6,8,7,3,2,39
Oily,0,6,6,7,7,2,0,52
Oily,1,7,5,7,8,2,1,42
Oily,3,8,5,7,8,2,1,46
Oily,4,7,6,10,8,2,2,17
Oily,3,5,4,9,8,1,1,55
Oily,2,8,6,9,8,3,3,17
Oily,1,7,5,7,10,2,0,44
Oily,1,6,6,9,7,1,3,20
Oily,4,5,3,10,5,3,3,52
Oily,1,7,5,8,10,2,0,54
Oily,0,7,5,9,9,2,0,26
Oily,2,8,3,8,9,1,3,20
Oily,3,6,5,8,9,1,1,60
Oily,0,6,4,8,6,1,1,55
Oily,4,5,5,8,10,0,0,34
Oily,3,6,6,10,7,1,1,22
Oily,0,5,6,8,6,1,1,31
Oily,2,8,4,7,8,1,2,40
Oily,3,4,3,10,6,3,0,50
Oily,1,5,3,10,7,1,3,25
Oily,3,6,5,9,10,3,2,21
Oily,0,8,3,10,7,1,0,29
Oily,4,6,3,10,8,3,0,36
Oily,0,8,4,8,7,3,2,21
Oily,2,7,4,9,7,2,1,26
Oily,4,5,5,10,8,3,0,40
Oily,4,8,3,9,9,3,3,37
Oily,3,4,5,7,5,0,3,35
Oily,0,4,3,10,7,2,1,59
Oily,0,8,4,9,8,3,1,49
Oily,1,5,3,10,8,3,1,21
Oily,2,7,6,8,8,2,3,36
Oily,0,5,4,9,6,3,3,55
Oily,2,4,4,9,7,3,2,34
Oily,3,6,6,7,9,3,0,26
Oily,1,7,5,7,8,3,1,28
Oily,0,4,6,8,8,1,1,23
Oily,4,5,3,8,8,3,2,29
Oily,4,4,6,9,7,1,0,19
Oily,4,7,5,9,9,3,0,40
Oily,3,5,3,10,6,1,3,46
Oily,1,4,3,9,8,2,0,33
Oily,1,4,3,9,9,3,1,44
Oily,4,8,4,8,5,0,2,54
Oily,2,4,3,9,5,2,3,33
Oily,2,5,4,9,5,1,0,24
Oily,3,8,5,9,10,2,2,15
Oily,2,7,4,8,8,1,1,44
Oily,4,8,6,8,9,1,1,24
Oily,1,7,4,9,9,1,3,17
Oily,4,5,6,7,5,3,0,17
Oily,2,8,4,9,6,2,2,44
Oily,2,8,3,9,9,1,3,49
Oily,2,6,6,8,10,2,1,59
Oily,3,8,6,10,8,3,2,34
Oily,3,5,6,9,6,2,0,45
Oily,1,5,4,7,5,2,1,58
Oily,1,6,4,7,5,0,0,51
Oily,1,7,3,7,5,3,0,29
Oily,1,6,4,7,6,1,0,34
Oily,1,8,5,10,6,1,1,37
Oily,4,7,6,9,7,2,3,25
Oily,3,6,3,8,7,1,1,16
Oily,2,5,5,8,10,3,1,56
Oily,1,5,5,8,10,3,0,48
Oily,2,7,4,9,6,1,0,22
Oily,4,7,4,10,10,2,1,54
Oily,4,7,4,7,10,2,0,35
Oily,2,7,5,9,10,3,0,56
Oily,3,4,6,7,7,1,3,45
Oily,2,5,5,10,10,3,0,45
Oily,4,5,6,8,6,1,2,59
Oily,2,6,6,7,9,0,0,44
Oily,0,5,6,8,6,1,1,44
Oily,0,5,6,10,10,0,3,22
Oily,0,7,5,7,6,3,3,36
Oily,0,5,3,8,8,3,0,23
Oily,1,5,5,7,10,1,1,24
Oily,3,8,3,8,5,0,2,31
Oily,3,5,6,8,9,1,2,17
Oily,1,8,4,10,8,1,0,59
Oily,1,4,3,9,10,2,1,29
Oily,4,4,4,7,8,2,1,35
Oily,3,4,6,10,10,2,2,35
Oily,2,7,6,9,6,1,1,50
Oily,4,7,5,10,9,2,1,32
Oily,3,8,3,8,6,1,1,58
Oily,0,7,3,7,7,2,2,22
Oily,0,5,4,9,10,3,2,32
Oily,4,6,3,9,9,0,2,44
Oily,1,8,6,7,10,2,2,17
Oily,2,4,3,10,5,3,3,34
Oily,3,8,4,10,5,3,0,16
Oily,4,6,5,10,6,3,1,32
Oily,1,8,5,9,7,0,3,24
Oily,1,8,6,8,5,0,3,35
Oily,0,5,3,10,5,1,3,46
Oily,3,6,6,9,7,2,1,38
Oily,1,8,6,8,6,3,3,45
Oily,2,5,4,9,8,2,3,47
Oily,3,5,4,7,9,2,0,52
Oily,3,6,3,9,7,0,3,16
Oily,0,4,4,10,5,1,1,57
Oily,3,7,6,7,10,1,1,56
Oily,2,4,5,10,7,3,2,25
Oily,2,8,5,9,10,0,3,44
Oily,2,5,6,10,5,3,2,24
Oily,1,7,5,7,10,3,2,53
Oily,2,6,4,10,10,2,2,32
Oily,4,4,6,9,8,1,0,31
Oily,0,5,5,10,10,1,1,34
Oily,2,8,4,10,5,2,1,60
Oily,2,4,5,8,7,2,1,59
Oily,1,8,5,9,7,1,2,50
Oily,0,7,4,8,6,0,2,39
Oily,3,4,6,9,8,1,0,47
Oily,2,4,5,9,10,2,0,31
Oily,3,5,3,10,9,1,1,28
Oily,3,7,3,7,7,0,2,15
Oily,3,4,6,9,6,3,3,15
Oily,4,4,6,8,5,0,0,55
Oily,2,7,3,8,10,1,3,38
Oily,0,8,5,8,8,2,0,18
Oily,2,8,3,10,8,3,1,18
Oily,0,6,4,9,10,1,0,57
Oily,4,5,5,10,6,0,2,22
Oily,0,6,6,10,7,2,3,53
Oily,3,7,5,9,8,1,0,57
Oily,4,4,5,8,5,3,3,32
Oily,4,4,5,9,8,2,1,25
Oily,2,8,6,7,6,3,1,25
Oily,2,5,4,10,6,3,2,29
Oily,3,6,3,8,7,1,2,59
Oily,2,4,3,7,10,2,1,41
Oily,1,5,4,10,7,1,2,45
Oily,4,5,6,8,5,0,1,55
Oily,2,5,4,8,9,0,0,57
Oily,3,8,3,8,5,1,1,48
Oily,4,6,5,10,9,2,1,25
Oily,0,4,3,10,10,1,1,44
Oily,3,6,6,9,10,2,2,22
Oily,0,5,4,10,6,2,1,31
Oily,0,6,5,7,6,1,2,55
Oily,1,8,6,10,7,3,1,26
Oily,3,6,3,10,7,3,0,40
Oily,2,5,5,7,8,3,1,37
Oily,2,4,4,10,5,2,2,27
Oily,1,8,4,7,10,0,2,26
Oily,2,4,3,9,8,2,2,33
Oily,1,8,3,10,8,1,3,54
Oily,0,5,4,9,7,3,1,38
Oily,1,4,4,7,7,3,3,35
Oily,1,7,3,8,9,1,1,31
Oily,0,4,3,8,9,3,1,29
Oily,0,4,5,7,6,2,1,59
Oily,2,7,6,9,10,3,2,20
Oily,3,6,4,7,6,0,1,34
Oily,2,4,3,9,9,0,2,41
Oily,1,8,5,10,8,3,3,21
Oily,4,7,5,8,7,0,2,38
Oily,3,8,4,8,5,2,0,47
Oily,4,6,6,10,9,0,1,32
Oily,0,6,6,8,8,1,2,57
Oily,1,4,4,9,9,3,1,55
Oily,4,5,6,8,10,3,0,38
Oily,2,7,6,8,6,1,0,30
Oily,3,5,3,10,10,1,3,50
Oily,1,5,6,10,9,3,3,49
Oily,2,7,5,9,5,3,3,54
Oily,3,8,3,7,10,1,0,42
Oily,4,5,3,8,8,3,1,38
Oily,4,8,6,8,10,0,3,16
Oily,1,4,3,7,7,1,0,59
Oily,4,4,4,9,9,0,0,19
Oily,4,6,3,7,7,1,2,19
Oily,3,8,5,7,10,1,3,15
Oily,3,5,3,9,9,3,2,48
Oily,3,5,4,10,10,2,3,57
Oily,4,4,3,9,9,0,1,23
Oily,4,4,6,10,5,1,3,23
Oily,0,7,3,7,7,2,1,16
Oily,3,7,4,10,10,2,0,32
Oily,1,6,6,9,5,0,0,53
Oily,3,8,3,10,7,1,3,49
Oily,4,5,4,7,8,2,0,27
Oily,3,4,5,7,9,1,1,19
Oily,4,7,6,8,9,2,0,28
Oily,0,6,3,10,10,0,1,25
Oily,0,5,3,10,9,1,2,53
Oily,0,6,4,7,8,2,0,44
Oily,2,4,4,9,6,0,2,57
Oily,3,6,4,9,10,1,2,39
Oily,4,8,5,7,6,2,3,42
Oily,4,4,3,9,8,0,2,16
Oily,0,8,3,8,9,2,3,45
Oily,1,4,5,10,8,3,3,34
Oily,0,7,3,8,9,0,3,54
Oily,2,8,3,8,5,1,3,45
Oily,2,8,5,10,9,2,0,26
Oily,4,6,5,8,8,1,2,34
Oily,4,4,5,10,5,1,1,50
Oily,4,8,4,10,10,0,1,45
Oily,4,5,3,9,6,0,2,45
Oily,0,8,5,10,6,2,1,54
Oily,3,6,5,9,6,2,3,28
Oily,4,7,4,9,9,2,0,49
Oily,1,4,4,8,7,2,1,29
Oily,3,7,6,8,8,1,3,24
Oily,2,4,3,7,10,1,1,22
Oily,2,4,6,10,8,2,3,42
Oily,1,5,3,9,7,0,3,15
Oily,0,6,3,8,5,1,0,58
Oily,1,5,3,9,5,1,2,46
Oily,3,6,6,10,7,3,1,51
Oily,3,5,3,9,5,1,2,20
Oily,2,6,3,9,7,0,3,48
Oily,2,6,6,10,9,3,0,15
Oily,0,6,3,9,8,3,0,24
Oily,3,4,4,8,6,1,0,19
Oily,4,7,6,10,8,1,2,23
Oily,2,4,5,7,5,3,0,45
Oily,3,4,3,9,8,1,1,49
Oily,0,7,6,8,10,1,1,17
Oily,0,5,4,9,9,1,3,24
Oily,3,7,6,7,9,1,1,56
Oily,4,4,5,7,5,2,1,44
Oily,2,5,3,8,5,2,2,43
Oily,4,8,6,8,10,0,3,51
Oily,2,6,6,7,7,1,2,31
Oily,1,6,6,10,6,1,2,24
Dry,0,4,7,2,3,8,0,57
Dry,4,5,8,3,2,7,0,55
Dry,1,6,6,0,0,10,2,20
Dry,1,3,5,3,2,8,3,21
Dry,2,3,6,0,4,8,0,38
Dry,0,6,8,3,0,10,3,36
Dry,1,4,5,2,2,7,2,49
Dry,0,5,5,3,3,7,1,44
Dry,1,5,6,0,2,9,0,25
Dry,4,3,8,1,4,9,0,26
Dry,2,5,6,2,3,7,3,48
Dry,1,3,6,2,3,7,3,19
Dry,1,5,6,2,3,7,0,38
Dry,0,5,6,2,4,10,1,36
Dry,4,4,6,2,4,8,1,25
Dry,2,4,5,0,0,7,2,41
Dry,4,4,7,3,3,7,0,56
Dry,2,4,5,3,3,9,1,26
Dry,3,5,7,3,2,7,2,55
Dry,3,7,7,2,1,9,3,60
Dry,3,7,8,2,4,10,3,32
Dry,4,4,8,3,3,7,2,36
Dry,0,4,7,3,4,8,1,39
Dry,2,3,8,1,4,9,2,17
Dry,1,7,8,2,4,7,3,31
Dry,1,4,6,2,4,8,0,26
Dry,2,7,6,0,1,10,2,33
Dry,0,7,5,0,3,7,2,19
Dry,1,7,7,0,3,9,2,58
Dry,3,3,8,2,0,10,0,54
Dry,2,7,6,3,4,8,2,58
Dry,4,7,6,3,0,8,2,27
Dry,2,5,7,2,3,10,2,31
Dry,1,3,6,0,1,8,1,36
Dry,4,4,7,3,2,8,2,24
Dry,2,5,6,2,2,7,1,40
Dry,3,5,8,3,3,7,1,32
Dry,2,3,6,3,0,10,3,49
Dry,3,5,7,3,1,7,0,49
Dry,3,4,7,3,4,7,3,32
Dry,3,3,6,3,0,10,2,47
Dry,2,4,6,1,3,7,1,50
Dry,4,6,8,1,3,9,2,33
Dry,3,3,8,3,2,8,3,31
Dry,3,6,5,0,1,10,3,32
Dry,2,5,6,3,1,7,1,36
Dry,0,7,5,1,3,8,3,27
Dry,2,4,7,2,2,8,0,51
Dry,4,3,6,1,0,7,3,21
Dry,3,4,7,3,2,7,2,43
Dry,4,4,7,0,0,7,3,58
Dry,3,5,5,3,3,8,2,54
Dry,3,5,6,3,4,8,1,50
Dry,4,3,6,3,0,8,2,38
Dry,4,3,6,3,3,8,1,32
Dry,1,3,7,3,3,9,3,55
Dry,2,7,5,2,3,9,3,16
Dry,3,7,5,0,0,7,2,30
Dry,2,5,8,1,0,8,1,16
Dry,1,6,6,2,4,7,2,21
Dry,0,5,6,0,4,10,3,42
Dry,3,3,7,3,1,7,3,25
Dry,2,5,8,1,1,10,1,50
Dry,3,7,6,2,1,7,2,39
Dry,1,6,6,0,1,9,0,56
Dry,4,3,5,0,3,9,3,48
Dry,1,6,7,1,4,9,2,32
Dry,3,3,6,0,0,8,2,48
Dry,2,5,8,1,0,10,2,57
Dry,4,5,5,2,1,8,3,35
Dry,4,7,8,0,4,10,2,58
Dry,2,4,8,3,2,10,0,34
Dry,4,6,5,1,0,9,2,26
Dry,2,7,8,2,0,7,0,47
Dry,2,5,6,2,0,7,3,35
Dry,1,4,8,0,0,8,3,37
Dry,3,7,7,3,0,7,1,58
Dry,1,5,5,3,4,7,1,32
Dry,3,3,8,1,4,7,2,48
Dry,3,6,5,0,3,10,1,47
Dry,1,3,5,2,4,8,0,16
Dry,2,7,5,1,1,10,2,18
Dry,0,3,6,2,1,8,0,47
Dry,4,3,7,1,4,10,2,35
Dry,0,3,6,0,4,10,2,41
Dry,2,5,7,2,1,8,2,54
Dry,4,4,5,0,4,9,3,34
Dry,3,3,6,0,3,8,3,21
Dry,2,4,7,0,3,8,3,25
Dry,1,6,7,1,3,7,0,36
Dry,2,3,8,3,0,10,1,25
Dry,1,4,7,0,0,8,2,28
Dry,0,5,6,1,2,7,2,51
Dry,2,5,5,1,4,9,1,19
Dry,2,7,8,3,0,9,3,15
Dry,2,3,8,3,0,8,1,19
Dry,1,6,6,0,3,8,0,37
Dry,3,6,5,3,4,10,2,26
Dry,1,7,8,0,4,9,0,38
Dry,0,7,7,1,3,8,3,39
Dry,1,7,5,1,2,7,2,34
Dry,1,4,8,0,4,10,3,55
Dry,4,5,6,3,3,10,3,43
Dry,4,4,6,0,0,8,1,51
Dry,0,5,5,2,4,10,3,30
Dry,0,3,8,1,4,7,3,56
Dry,3,6,5,0,2,7,0,26
Dry,2,6,5,2,4,9,0,41
Dry,4,3,6,3,2,10,2,36
Dry,3,4,7,0,4,10,0,36
Dry,0,6,8,1,1,8,0,45
Dry,2,4,7,0,3,9,0,19
Dry,2,3,8,2,0,8,2,42
Dry,0,4,7,2,1,9,2,40
Dry,2,3,6,1,2,8,1,41
Dry,0,4,8,3,0,9,2,36
Dry,4,4,8,3,4,10,2,26
Dry,3,7,8,1,2,8,1,50
Dry,2,6,6,1,3,9,1,47
Dry,2,4,8,3,1,7,2,53
Dry,2,4,8,0,1,8,3,20
Dry,2,4,8,3,4,8,3,60
Dry,3,4,8,3,3,9,2,27
Dry,0,7,7,1,2,7,3,52
Dry,3,4,7,0,2,9,0,15
Dry,1,6,6,3,1,8,1,60
Dry,4,6,7,1,0,10,3,33
Dry,1,7,7,2,2,9,3,43
Dry,4,3,7,1,1,8,3,42
Dry,1,4,6,3,1,9,0,34
Dry,2,6,7,2,4,9,2,49
Dry,3,4,5,1,2,8,0,53
Dry,1,4,5,2,2,9,1,19
Dry,1,4,7,0,0,10,0,15
Dry,0,5,5,0,4,8,1,27
Dry,4,7,6,1,1,8,1,47
Dry,3,7,5,0,4,8,1,19
Dry,2,7,5,3,1,8,2,44
Dry,3,7,8,3,0,10,2,47
Dry,4,3,6,1,1,10,2,19
Dry,3,7,7,2,3,8,2,16
Dry,2,4,7,0,2,8,0,19
Dry,0,6,8,0,1,10,2,18
Dry,0,4,7,3,3,8,1,35
Dry,1,6,5,2,0,9,1,20
Dry,1,7,8,2,3,10,2,49
Dry,0,3,6,1,0,7,2,51
Dry,4,3,8,0,1,7,1,35
Dry,0,7,7,3,1,10,1,39
Dry,0,5,6,3,4,7,2,15
Dry,1,6,6,3,3,7,0,23
Dry,2,7,7,3,3,10,0,46
Dry,0,6,8,3,2,8,3,17
Dry,1,5,5,1,1,9,1,56
Dry,2,3,8,1,4,8,0,16
Dry,0,6,5,2,4,8,2,52
Dry,2,7,8,3,0,9,2,39
Dry,1,5,7,1,0,9,1,31
Dry,0,5,6,0,4,7,1,46
Dry,0,4,7,0,0,8,3,40
Dry,4,7,8,2,1,10,2,53
Dry,4,7,8,0,2,9,0,53
Dry,2,3,7,2,4,9,2,58
Dry,2,5,8,3,0,7,2,16
Dry,2,4,5,2,0,9,2,46
Dry,1,3,5,2,4,8,1,31
Dry,0,3,5,2,2,9,2,23
Dry,1,4,8,0,2,9,3,20
Dry,2,7,8,0,0,8,3,53
Dry,4,3,7,2,2,7,3,31
Dry,3,6,5,2,4,10,0,38
Dry,3,3,7,3,2,7,2,48
Dry,1,5,8,0,0,9,0,44
Dry,0,4,7,0,2,8,0,16
Dry,1,6,5,0,4,9,1,54
Dry,4,3,8,0,1,8,2,21
Dry,4,5,7,2,0,8,2,37
Dry,1,5,5,2,3,9,0,20
Dry,1,5,6,2,3,9,2,54
Dry,2,7,5,2,3,8,1,28
Dry,3,5,5,2,2,8,2,60
Dry,2,3,8,2,2,7,1,41
Dry,0,5,7,0,1,10,3,58
Dry,3,4,6,2,4,7,1,34
Dry,0,5,6,2,4,9,1,60
Dry,3,3,7,0,3,9,3,56
Dry,2,5,5,2,0,7,0,18
Dry,3,6,6,2,3,8,0,42
Dry,1,5,8,0,1,9,1,24
Dry,2,7,6,1,1,9,3,41
Dry,1,6,5,0,1,8,2,19
Dry,1,4,8,1,1,9,1,37
Dry,4,6,6,2,1,9,2,40
Dry,1,6,8,0,2,10,1,44
Dry,4,3,5,1,3,10,2,32
Dry,2,5,5,3,3,8,1,59
Dry,4,7,8,0,0,9,2,22
Dry,2,7,5,3,2,8,2,21
Dry,0,6,6,0,0,10,2,23
Dry,0,6,7,2,2,7,1,23
Dry,3,7,7,3,2,8,1,53
Dry,2,5,8,3,2,9,0,19
Dry,3,5,5,0,4,10,2,20
Dry,4,3,7,1,4,8,3,54
Dry,0,4,6,2,0,10,3,21
Dry,2,7,8,3,3,9,1,15
Dry,3,7,8,0,3,10,1,23
Dry,1,7,6,1,2,8,0,50
Dry,1,6,7,1,0,7,1,17
Dry,4,4,6,3,3,8,1,25
Dry,1,7,5,0,1,10,1,58
Dry,4,3,7,0,3,9,1,21
Dry,4,5,5,0,4,7,3,29
Dry,0,4,6,3,4,10,1,50
Dry,2,6,8,1,2,10,3,54
Dry,3,7,8,3,1,7,3,16
Dry,3,4,7,3,4,7,2,28
Dry,2,5,7,0,3,10,0,52
Dry,4,6,7,2,3,10,0,21
Dry,4,5,7,1,1,7,1,42
Dry,0,4,6,0,0,10,0,28
Dry,0,7,6,3,3,7,2,27
Dry,4,3,8,0,0,9,0,51
Dry,1,6,7,3,2,10,1,19
Dry,4,4,7,2,1,7,3,43
Dry,1,6,5,3,3,10,2,59
Dry,1,3,6,3,2,9,3,54
Dry,0,6,7,3,2,7,2,35
Dry,4,4,6,3,0,7,0,44
Dry,2,6,6,0,1,8,3,43
Dry,3,4,5,1,0,10,2,22
Dry,3,4,5,1,2,8,2,49
Dry,2,4,8,1,0,10,2,43
Dry,3,7,7,3,4,9,3,18
Dry,0,6,7,2,4,8,2,60
Dry,3,4,7,3,1,8,2,38
Dry,3,7,7,2,2,7,1,18
Dry,1,6,7,3,4,7,3,39
Dry,1,3,5,2,1,9,2,31
Dry,2,7,7,3,1,8,1,17
Dry,2,5,8,2,0,8,2,34
Dry,4,4,5,1,2,10,0,53
Dry,1,5,6,3,3,10,1,26
Dry,4,6,6,1,0,10,0,45
Dry,0,3,7,3,2,8,0,36
Dry,0,4,6,3,4,7,1,31
Dry,0,6,8,1,4,10,1,51
Dry,2,6,7,2,1,9,0,50
Dry,2,7,7,2,3,9,0,51
Dry,3,7,8,2,2,7,2,33
Dry,3,6,7,2,3,9,1,28
Dry,2,3,7,2,4,8,1,50
Dry,4,6,8,2,1,9,2,22
Dry,0,5,6,1,2,9,2,44
Dry,4,3,7,0,1,10,0,41
Dry,1,4,5,2,4,9,0,23
Dry,3,3,7,3,4,8,2,60
Dry,4,5,8,0,2,8,2,28
Dry,2,6,7,1,0,9,3,56
Dry,3,3,8,1,0,7,0,30
Dry,4,4,6,2,2,7,3,45
Dry,4,5,6,1,1,7,3,46
Dry,0,7,8,3,1,7,2,35
Dry,4,4,8,2,4,10,1,20
Dry,0,5,6,2,1,8,3,16
Dry,3,5,7,0,4,9,1,42
Dry,1,3,5,3,1,9,2,18
Dry,1,6,7,2,0,10,0,57
Dry,4,6,5,1,1,10,2,56
Dry,3,4,6,0,2,10,2,52
Dry,2,5,5,3,0,9,2,49
Dry,0,4,7,2,3,9,1,38
Dry,1,4,7,2,2,7,1,24
Dry,0,3,8,1,4,7,1,19
Dry,1,6,6,3,0,9,2,37
Dry,2,5,6,1,0,8,1,31
Dry,3,7,7,1,2,9,2,56
Dry,2,6,7,3,0,8,2,59
Dry,4,5,8,2,2,7,3,59
Dry,2,3,7,1,0,8,0,49
Dry,0,4,7,2,2,10,1,52
Dry,4,4,7,0,2,9,0,34
Dry,4,4,7,0,4,7,0,56
Dry,1,4,5,1,2,7,0,15
Dry,2,3,7,1,2,7,1,38
Dry,2,4,8,3,3,7,0,42
Dry,2,4,5,2,2,7,3,19
Dry,1,3,7,1,0,10,0,59
Dry,0,4,5,2,4,7,2,24
Dry,3,5,5,3,2,10,2,30
Dry,1,5,5,3,2,7,3,28
Dry,2,6,6,3,3,10,3,34
Dry,3,5,6,0,1,9,0,28
Dry,0,5,5,0,2,7,0,49
Dry,2,6,5,3,1,10,2,25
Dry,3,6,8,0,4,10,3,60
Dry,0,6,6,1,1,9,0,39
Dry,1,4,7,1,2,10,1,38
Dry,0,6,6,2,3,9,0,34
Dry,4,3,6,1,4,7,3,23
Dry,2,5,8,1,0,10,3,44
Dry,4,7,8,1,2,7,2,32
Dry,1,7,7,0,4,8,3,45
Dry,4,6,8,3,0,10,0,18
Dry,3,7,7,3,3,10,0,38
Dry,1,6,8,3,2,10,2,34
Dry,1,7,7,0,1,7,2,30
Dry,0,4,5,1,0,9,1,58
Dry,4,7,6,0,2,9,0,41
Dry,4,5,7,1,4,7,0,16
Dry,1,5,6,0,3,9,1,49
Dry,3,3,8,0,3,8,3,16
Dry,3,3,8,3,3,10,0,15
Dry,4,4,5,3,0,8,1,21
Dry,1,6,5,1,2,9,2,44
Dry,2,7,8,0,2,8,1,36
Dry,4,7,5,0,1,10,2,44
Dry,2,6,5,1,2,7,0,37
Dry,2,5,6,3,3,9,3,59
Dry,3,4,8,1,2,10,3,21
Dry,3,3,7,3,3,10,2,29
Dry,0,6,8,1,3,9,1,41
Dry,3,4,7,3,2,8,3,20
Dry,4,5,5,1,0,8,2,35
Dry,2,4,8,2,2,7,2,57
Dry,1,4,5,3,1,9,0,50
Dry,1,7,6,3,3,9,3,28
Dry,4,4,6,0,3,10,3,26
Dry,1,7,7,3,3,9,2,25
Dry,3,6,8,3,2,10,3,46
Dry,0,3,8,1,1,7,0,25
Dry,3,7,7,3,2,9,2,49
Dry,2,4,6,3,2,7,1,23
Dry,1,4,7,3,0,10,2,20
Dry,4,3,5,2,2,9,0,33
Dry,4,7,7,0,1,9,0,21
Dry,2,7,6,3,1,7,1,18
Dry,0,4,8,0,2,9,2,40
Dry,2,7,6,2,3,8,1,35
Dry,0,4,8,3,2,8,3,35
Dry,1,6,5,0,0,8,3,26
Dry,3,6,6,2,1,8,0,31
Dry,0,7,5,1,1,9,1,40
Dry,1,7,7,3,2,7,0,46
Dry,3,6,8,0,2,10,3,58
Dry,2,3,5,0,3,9,2,45
Dry,1,7,6,2,1,9,1,51
Dry,3,4,6,3,3,10,2,57
Dry,4,6,5,2,2,10,2,50
Dry,0,3,8,1,4,7,1,55
Dry,2,7,6,2,0,7,2,27
Dry,2,3,7,3,2,9,1,32
Dry,2,6,7,1,0,8,2,42
Dry,3,7,7,0,1,7,1,22
Dry,2,3,5,2,2,8,1,23
Dry,3,7,6,2,2,9,0,43
Dry,4,3,7,1,2,9,3,50
Dry,0,6,7,0,2,10,0,36
Dry,3,3,5,2,4,9,2,48
Dry,4,6,6,3,3,10,2,15
Dry,4,5,6,1,3,8,0,37
Dry,0,5,7,1,2,10,2,26
Dry,2,5,5,1,1,7,0,58
Dry,4,3,6,1,2,10,2,48
Dry,1,4,7,2,4,9,1,17
Dry,0,5,5,2,1,7,3,30
Dry,2,6,7,1,0,9,2,20
Dry,2,5,8,2,3,10,3,38
Dry,3,6,6,1,4,7,3,33
Dry,0,3,8,1,4,9,3,42
Dry,2,5,8,3,0,9,3,38
Dry,3,3,7,1,1,8,1,23
Dry,3,4,8,3,4,9,1,21
Dry,2,3,7,3,1,10,0,19
Dry,4,3,5,0,0,7,1,55
Dry,2,6,7,0,4,9,1,54
Dry,1,3,7,3,4,10,3,22
Dry,3,6,7,3,3,8,2,37
Dry,0,6,5,1,0,10,3,54
Dry,2,5,6,0,1,10,3,21
Dry,0,3,8,2,2,10,2,47
Dry,1,6,8,0,4,10,2,16
Dry,0,6,6,3,0,10,2,17
Dry,4,4,7,0,3,7,3,51
Dry,1,4,8,0,2,8,0,33
Dry,2,5,5,0,1,10,3,46
Dry,2,5,8,0,0,9,0,29
Dry,3,3,8,1,4,10,1,48
Dry,3,7,7,3,4,8,2,33
